team_slug,conference
wittenberg,Unknown
wofford,nan
worcesterstate,Unknown
wpiengineers,Unknown
wrightstateraiders,nan
wvutechgolden,Unknown
wyoming,nan
xavier,nan
xavierlagoldnuggets,Unknown
yale,nan
yellowstonechristiancollegecenturions,Unknown
yorkcollegenebraska,Unknown
yorkny,Unknown
youngstownstate,nan
