game_id,home_team,away_team,period,market,book,pick,edge,line_value,predicted_value,fair_price,actual_total,actual_total_1h,actual_total_2h,actual_margin,actual_margin_1h,home_score,away_score,result,pnl_units
401826074,William & Mary Tribe,Radford Highlanders,2h,moneyline,Caesars,Radford Highlanders ML,32.14550463258901,335.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,Caesars,Tennessee Tech Golden Eagles ML,31.874704509985065,122.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,FanDuel,Tennessee Tech Golden Eagles ML,31.874704509985065,122.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401826074,William & Mary Tribe,Radford Highlanders,2h,moneyline,DraftKings,Radford Highlanders ML,31.35649887250283,330.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,BetMGM,Tennessee Tech Golden Eagles ML,31.25538364189402,120.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,BetOnline.ag,Tennessee Tech Golden Eagles ML,31.25538364189402,120.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,BetUS,Tennessee Tech Golden Eagles ML,31.25538364189402,120.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,LowVig.ag,Tennessee Tech Golden Eagles ML,31.25538364189402,120.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401826074,William & Mary Tribe,Radford Highlanders,2h,moneyline,FanDuel,Radford Highlanders ML,29.72212979803861,320.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,BetRivers,Tennessee Tech Golden Eagles ML,29.65667163356597,115.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401826074,William & Mary Tribe,Radford Highlanders,2h,moneyline,Bovada,Radford Highlanders ML,28.00803540286882,310.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401826074,William & Mary Tribe,Radford Highlanders,2h,moneyline,Fanatics,Radford Highlanders ML,28.00803540286882,310.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401826074,William & Mary Tribe,Radford Highlanders,2h,moneyline,BetMGM,Radford Highlanders ML,24.316139782503125,290.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401826074,William & Mary Tribe,Radford Highlanders,2h,moneyline,BetRivers,Radford Highlanders ML,22.32445925046373,280.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830247,Murray St Racers,Drake Bulldogs,2h,moneyline,FanDuel,Drake Bulldogs ML,21.288785373803243,275.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830247,Murray St Racers,Drake Bulldogs,2h,moneyline,BetUS,Drake Bulldogs ML,20.225120311287064,270.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830247,Murray St Racers,Drake Bulldogs,2h,moneyline,Caesars,Drake Bulldogs ML,20.225120311287064,270.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830247,Murray St Racers,Drake Bulldogs,2h,moneyline,DraftKings,Drake Bulldogs ML,20.225120311287064,270.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830247,Murray St Racers,Drake Bulldogs,2h,moneyline,BetOnline.ag,Drake Bulldogs ML,19.573009578136823,267.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830247,Murray St Racers,Drake Bulldogs,2h,moneyline,LowVig.ag,Drake Bulldogs ML,19.573009578136823,267.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401827092,Norfolk St Spartans,Grambling St Tigers,2h,moneyline,BetMGM,Norfolk St Spartans ML,19.10517237860088,-115.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401827092,Norfolk St Spartans,Grambling St Tigers,2h,moneyline,DraftKings,Norfolk St Spartans ML,18.13714492401692,-118.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401827092,Norfolk St Spartans,Grambling St Tigers,2h,moneyline,FanDuel,Norfolk St Spartans ML,18.13714492401692,-118.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401830247,Murray St Racers,Drake Bulldogs,2h,moneyline,BetMGM,Drake Bulldogs ML,18.00915143104504,260.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401830248,Southern Illinois Salukis,Illinois St Redbirds,2h,moneyline,FanDuel,Southern Illinois Salukis ML,17.50646037027283,-120.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401827092,Norfolk St Spartans,Grambling St Tigers,2h,moneyline,Caesars,Norfolk St Spartans ML,17.50646037027283,-120.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
