date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,start_min,end_min,half,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-01-23,401812340,Le Moyne Dolphins,Wagner Seahawks,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,5,10,1,19.0475,18.717,34.18258638449457,0.3305,12.0,19.0,27.0,12.0,18.0,26.0,32.17397429866641,34.05205946540615,36.27161466246222,-9.0,0.0,9.0
2026-01-23,401812340,Le Moyne Dolphins,Wagner Seahawks,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,10,15,1,28.47675,27.8125,52.37542483313661,0.66425,19.0,28.0,38.0,19.0,27.0,37.0,49.57170285318777,52.31867051904034,55.45806213715756,-10.0,1.0,11.0
2026-01-23,401812340,Le Moyne Dolphins,Wagner Seahawks,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,15,20,1,35.6735,34.987,70.67888638011748,0.6865,25.0,35.0,47.0,25.0,35.0,46.0,67.69281165445028,70.56720764189924,73.77976786316573,-11.0,1.0,12.0
2026-01-23,401812340,Le Moyne Dolphins,Wagner Seahawks,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,20,25,2,45.48975,44.57725,89.23080211925921,0.9125,34.0,45.0,57.0,33.0,44.0,56.0,86.10943165750795,89.0474750821761,92.65559858615455,-13.0,1.0,14.0
2026-01-23,401812340,Le Moyne Dolphins,Wagner Seahawks,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,25,30,2,54.8525,53.747,107.55091055658384,1.1055,43.0,55.0,67.0,42.0,53.0,66.0,104.13081948930444,107.44629846980438,111.11077523772538,-14.0,1.0,16.0
2026-01-23,401812340,Le Moyne Dolphins,Wagner Seahawks,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,30,35,2,64.2745,62.96825,124.66108677561104,1.30625,51.0,64.0,78.0,50.0,63.0,77.0,120.30220991719187,124.61127602336,129.12553575363134,-15.0,1.0,17.0
2026-01-23,401812340,Le Moyne Dolphins,Wagner Seahawks,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,35,40,2,71.78225,70.39375,145.99805362781328,1.3885,58.0,72.0,86.0,56.0,70.0,84.09999999999991,143.3162244924752,145.97768764887735,148.63915080527946,-15.0,1.0,18.0
2026-01-23,401812369,Stonehill Skyhawks,Long Island University Sharks,,2026-01-24T00:00:00Z,CST,0,5,1,9.63775,9.49775,16.847269630324874,0.14,5.0,9.0,15.0,5.0,9.0,15.0,16.05017272341176,16.832133111386224,17.725802126214184,-6.0,0.0,6.099999999999909
2026-01-23,401812369,Stonehill Skyhawks,Long Island University Sharks,,2026-01-24T00:00:00Z,CST,5,10,1,18.9535,18.51,34.131195144931965,0.4435,12.0,19.0,26.0,11.0,18.0,26.0,32.17397429866641,34.05205946540615,36.10087964730406,-8.0,0.0,9.0
2026-01-23,401812369,Stonehill Skyhawks,Long Island University Sharks,,2026-01-24T00:00:00Z,CST,10,15,1,28.326,27.56475,52.29723436064788,0.76125,19.0,28.0,38.0,19.0,27.0,37.0,49.37549087705545,52.12245854290801,55.26185016102522,-10.0,1.0,11.0
2026-01-23,401812369,Stonehill Skyhawks,Long Island University Sharks,,2026-01-24T00:00:00Z,CST,15,20,1,35.54575,34.73825,70.61522696310134,0.8075,25.0,35.0,46.0,24.0,34.0,46.0,67.69281165445028,70.56720764189924,73.61068574625696,-11.0,1.0,13.0
2026-01-23,401812369,Stonehill Skyhawks,Long Island University Sharks,,2026-01-24T00:00:00Z,CST,20,25,2,45.198,44.1585,89.10872727404127,1.0395,34.0,45.0,57.0,33.0,44.0,56.0,85.95479779305172,89.0474750821761,92.32914931674698,-13.0,1.0,14.0
